well	strain	sample_name	time_point	target_name	ct	ct_mean	ct_sd	quantity	quantity_mean	quantity_sd
F5	B6	B6_14	24	mE1A	18.94503403	19.00175858	0.066001736	4080392.75	3944743.75	156518.8125
D6	B6	B6_15	24	mE1A	19.27040863	19.36699867	0.205457285	3350874	3176502.25	380683.5938
E6	B6	B6_15	24	mE1A	19.60295296	19.36699867	0.205457285	2739865.75	3176502.25	380683.5938
F6	B6	B6_15	24	mE1A	19.22763824	19.36699867	0.205457285	3438767.5	3176502.25	380683.5938
D10	B6	B6_16	48	mE1A	19.35633087	19.13663483	0.198441237	3181034.5	3650766	427856.6563
E10	B6	B6_16	48	mE1A	18.97040367	19.13663483	0.198441237	4018204.75	3650766	427856.6563
F10	B6	B6_16	48	mE1A	19.08316803	19.13663483	0.198441237	3753058.25	3650766	427856.6563
D11	B6	B6_17	48	mE1A	19.04255867	19.06313896	0.040177833	3846465.75	3799589.75	91769.48438
E11	B6	B6_17	48	mE1A	19.10943604	19.06313896	0.040177833	3693849.75	3799589.75	91769.48438
F11	B6	B6_17	48	mE1A	19.03741837	19.06313896	0.040177833	3858453.75	3799589.75	91769.48438
D12	B6	B6_18	48	mE1A	19.20438004	19.24338341	0.106040709	3487527.25	3410780	215465.875
E12	B6	B6_18	48	mE1A	19.36340141	19.24338341	0.106040709	3167448	3410780	215465.875
F12	B6	B6_18	48	mE1A	19.16236687	19.24338341	0.106040709	3577364.75	3410780	215465.875
G10	B6	B6_19	72	mE1A	19.61952591	19.70186424	0.07299652	2712514.75	2582313	115239.375
G11	B6	B6_19	72	mE1A	19.7586441	19.70186424	0.07299652	2493427.25	2582313	115239.375
G12	B6	B6_19	72	mE1A	19.72742653	19.70186424	0.07299652	2540996.5	2582313	115239.375
H1	B6	B6_20	72	mE1A	20.38126945	20.1830616	0.177584589	1710420.875	1935799.125	203176.8281
H2	B6	B6_20	72	mE1A	20.03844261	20.1830616	0.177584589	2104918	1935799.125	203176.8281
H3	B6	B6_20	72	mE1A	20.12947464	20.1830616	0.177584589	1992058.375	1935799.125	203176.8281
H4	B6	B6_21	72	mE1A	20.16220856	20.15651512	0.011795696	1952972.125	1959749	14021.66992
H5	B6	B6_21	72	mE1A	20.16438293	20.15651512	0.011795696	1950403.125	1959749	14021.66992
H6	B6	B6_21	72	mE1A	20.14295197	20.15651512	0.011795696	1975871.75	1959749	14021.66992
A12	Atc	Atc_22	24	mE1A	15.37792778	15.46945477	0.206641614	13284284	12596029	1612772.125
B12	Atc	Atc_22	24	mE1A	15.32438183	15.46945477	0.206641614	13750489	12596029	1612772.125
C12	Atc	Atc_22	24	mE1A	15.70605183	15.46945477	0.206641614	10753315	12596029	1612772.125
G4	Atc	Atc_23	48	mE1A	14.9438715	15.12054729	0.326109648	17569908	15902079	3118384.75
G5	Atc	Atc_23	48	mE1A	14.92089653	15.12054729	0.326109648	17831872	15902079	3118384.75
G6	Atc	Atc_23	48	mE1A	15.49687195	15.12054729	0.326109648	12304456	15902079	3118384.75
D1	Atc	Atc_24	24	mE1A	15.28376484	15.55748844	0.241214007	14115008	11931101	1916788
E1	Atc	Atc_24	24	mE1A	15.6497345	15.55748844	0.241214007	11150585	11931101	1916788
F1	Atc	Atc_24	24	mE1A	15.73896694	15.55748844	0.241214007	10527713	11931101	1916788
G7	Atc	Atc_25	48	mE1A	15.02158356	15.17470932	0.142511845	16712014	15185139	1408339.75
G8	Atc	Atc_25	48	mE1A	15.19908142	15.17470932	0.142511845	14906377	15185139	1408339.75
G9	Atc	Atc_25	48	mE1A	15.30346394	15.17470932	0.142511845	13937026	15185139	1408339.75
D2	Atc	Atc_26	24	mE1A	15.13571453	14.96834946	0.148659289	15527430	17347186	1623119.625
E2	Atc	Atc_26	24	mE1A	14.85163307	14.96834946	0.148659289	18645500	17347186	1623119.625
F2	Atc	Atc_26	24	mE1A	14.91769981	14.96834946	0.148659289	17868630	17347186	1623119.625
G10	Atc	Atc_27	48	mE1A	15.50028038	15.28806305	0.265901685	12277469	14217407	2514162.25
G11	Atc	Atc_27	48	mE1A	14.98979092	15.28806305	0.265901685	17057802	14217407	2514162.25
G12	Atc	Atc_27	48	mE1A	15.37411499	15.28806305	0.265901685	13316951	14217407	2514162.25
E3	Atc	Atc_28	24	mE1A	17.54992294	17.66290855	0.159785777	3278703	3056627.75	314061.8438
F3	Atc	Atc_28	24	mE1A	17.77589417	17.66290855	0.159785777	2834552.5	3056627.75	314061.8438
D4	Atc	Atc_29	24	mE1A	14.6662569	14.67159271	0.070398502	21010422	20952664	947493.1875
E4	Atc	Atc_29	24	mE1A	14.60401344	14.67159271	0.070398502	21869958	20952664	947493.1875
F4	Atc	Atc_29	24	mE1A	14.74450684	14.67159271	0.070398502	19977614	20952664	947493.1875
D5	Atc	Atc_30	24	mE1A	15.39197922	15.36319256	0.028024303	13164584	13412435	241930.9688
E5	Atc	Atc_30	24	mE1A	15.36159992	15.36319256	0.028024303	13424744	13412435	241930.9688
F5	Atc	Atc_30	24	mE1A	15.33599854	15.36319256	0.028024303	13647976	13412435	241930.9688
D7	B6	B6_22	24	mE1A	14.76034164	14.88301849	0.194901392	19774872	18366166	2217875.75
E7	B6	B6_22	24	mE1A	14.78095627	14.88301849	0.194901392	19514012	18366166	2217875.75
F7	B6	B6_22	24	mE1A	15.10775566	14.88301849	0.194901392	15809617	18366166	2217875.75
H4	B6	B6_23	48	mE1A	15.73842239	15.66507339	0.108641207	10531407	11059217	788238.4375
H5	B6	B6_23	48	mE1A	15.71653366	15.66507339	0.108641207	10680952	11059217	788238.4375
H6	B6	B6_23	48	mE1A	15.54026318	15.66507339	0.108641207	11965292	11059217	788238.4375
D8	B6	B6_24	24	mE1A	14.73555088	14.78052521	0.063957043	20093202	19530400	795586
E8	B6	B6_24	24	mE1A	14.75228214	14.78052521	0.063957043	19877804	19530400	795586
F8	B6	B6_24	24	mE1A	14.85374165	14.78052521	0.063957043	18620192	19530400	795586
H7	B6	B6_25	48	mE1A	15.13718605	15.11937714	0.196611628	15512719	15776189	2010931.875
H8	B6	B6_25	48	mE1A	14.91446781	15.11937714	0.196611628	17905870	15776189	2010931.875
H9	B6	B6_25	48	mE1A	15.30647945	15.11937714	0.196611628	13909980	15776189	2010931.875
D9	B6	B6_26	24	mE1A	15.25347042	15.24796867	0.00778132	14393164	14444360	72402.07813
F9	B6	B6_26	24	mE1A	15.24246597	15.24796867	0.00778132	14495556	14444360	72402.07813
H10	B6	B6_27	48	mE1A	15.04160786	15.21732235	0.16843535	16497830	14790405	1614336.875
H11	B6	B6_27	48	mE1A	15.37738609	15.21732235	0.16843535	13288920	14790405	1614336.875
H12	B6	B6_27	48	mE1A	15.2329731	15.21732235	0.16843535	14584468	14790405	1614336.875
D10	B6	B6_28	24	mE1A	15.42642021	15.29160023	0.131823212	12875732	14077648	1190775.875
E10	B6	B6_28	24	mE1A	15.16299343	15.29160023	0.131823212	15256962	14077648	1190775.875
F10	B6	B6_28	24	mE1A	15.28538895	15.29160023	0.131823212	14100248	14077648	1190775.875
D11	B6	B6_29	24	mE1A	15.1844511	15.13494968	0.154779643	15047525	15587333	1585061.125
E11	B6	B6_29	24	mE1A	14.96147537	15.13494968	0.154779643	17371792	15587333	1585061.125
F11	B6	B6_29	24	mE1A	15.25892448	15.13494968	0.154779643	14342684	15587333	1585061.125
D12	B6	B6_30	24	mE1A	15.02591896	15.22838306	0.185658336	16665407	14698331	1786751.25
E12	B6	B6_30	24	mE1A	15.26858425	15.22838306	0.185658336	14253714	14698331	1786751.25
F12	B6	B6_30	24	mE1A	15.39064884	15.22838306	0.185658336	13175870	14698331	1786751.25
A12	Atc	Atc_31	72	mE1A	18.18223763	18.3766346	0.279257685	6346866.5	5656740.5	966300.375
B12	Atc	Atc_31	72	mE1A	18.25103188	18.3766346	0.279257685	6070975	5656740.5	966300.375
C12	Atc	Atc_31	72	mE1A	18.69664001	18.3766346	0.279257685	4552381.5	5656740.5	966300.375
